row_index,match_info,score,col_3,col_4,"Bookmaker 
Real-Time"
0,"Golden State Warriors
Orlando Magic","90
94
Final",,,"o216 1.93
u216 1.88"
1,"Atlanta Hawks
New York Knicks","117
111
Final",,,"o226.5 1.91
u226.5 1.91"
2,"Chicago Bulls
Milwaukee Bucks","98
126
Final",,,"o235.5 1.91
u235.5 1.91"
3,"LA Clippers
Denver Nuggets","115
127
Final",,,"o223 1.89
u223 1.93"
